iter	Passed	Remaining
0	0	61
1	1	55
2	1	52
3	2	48
4	2	49
5	3	48
6	3	48
7	4	47
8	4	46
9	5	46
10	5	45
11	6	44
12	6	44
13	7	43
14	7	43
15	8	42
16	8	41
17	9	41
18	9	40
19	10	40
20	10	39
21	11	39
22	11	38
23	12	38
24	12	37
25	13	37
26	13	36
27	14	36
28	14	35
29	15	35
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	21	27
43	21	27
44	22	26
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	26	21
55	27	21
56	27	21
57	28	20
58	28	20
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	49	0
99	50	0
